"Page GID","Page handle","Page title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_VIO-212x-MX100","string","12.1"", https://premio.blob.core.windows.net/premio/uploads/2017/05/ds_VIO-212x-MX100.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","UM-Generic_VIO-100-200PC300_V1","string","https://premio.blob.core.windows.net/premio/uploads/2018/02/UM-Generic_VIO-100-200PC300_V1.2.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_Premio-VIO-212x-Panel-PC","string","12.1"", https://premio.blob.core.windows.net/premio/uploads/2017/03/ds_Premio-VIO-212x-Panel-PC.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-NF 21.5"" 2DDrawing","string","21.5"", 2DDrawing_PI-NF215"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-NF 19"" 2DDrawing","string","19"", 2DDrawing_PI-NF190"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-NF 18.5"" 2DDrawing","string","18.5"", 2DDrawing_PI-NF185"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-NF 15.6"" 2DDrawing","string","15.6"", 2DDrawing_PI-NF156"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-NF 15"" 2DDrawing","string","15"", 2DDrawing_PI-NF150"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF 21.5"" 2DDrawing","string","21.5"", 2DDrawing_PI-CF215"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF 19"" 2DDrawing","string","19"", 2DDrawing_PI-CF190"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF 18.5"" 2DDrawing","string","18.5"", 2DDrawing_PI-CF185"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF 15.6"" 2DDrawing","string","15.6"", 2DDrawing_PI-CF156"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF 15"" 2DDrawing","string","15"", 2DDrawing_PI-CF150"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF-NF 21.5"" Datasheet","string","21.5"", PI-CF215_PI-NF215_ds_v1"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF-NF 19"" Datasheet","string","19"", PI-CF190_PI-NF190_ds_v1"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF-NF 18.5"" Datasheet","string","18.5"", PI-CF185_PI-NF185_ds_v1"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF-NF 15.6"" Datasheet","string","15.6"", PI-CF156_PI-NF156_ds_v3"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF-NF 15"" Datasheet","string","15"", PI-CF150_PI-NF150_ds_v1"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF215_PI-NF215_ds_v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/04/PI-CF215_PI-NF215_ds_v1.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF190_PI-NF190_ds_v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/04/PI-CF190_PI-NF190_ds_v1.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF185_PI-NF185_ds_v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/04/PI-CF185_PI-NF185_ds_v1.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF156_PI-NF156_ds_v3","string","https://premio.blob.core.windows.net/premio/uploads/2017/04/PI-CF156_PI-NF156_ds_v3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-CF150_PI-NF150_ds_v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/04/PI-CF150_PI-NF150_ds_v1.pdf"
